Colonia,NomBilio,DomBiblio,TelBiblio,Tiene
11,"Biblioteca Pública Municipal No. 7830  ""Manuel López Portillo""",Av. López Mateos Sur  Nº 5003. Horario de Lun-Vier de 8:00 a 20:00 hrs.,36 31 78 97,1
36,"Biblioteca Pública Municipal No. 7441 ""Lic. Jorge Humberto Chavira Martínez""","Andador Agua Azul s/n, Delegación Municipal. Lun a Vier de 8:00 a 20:00 hrs.",3672 4967,1
108,"Biblioteca Municipal No. 6952 ""Lic. Juan Manuel Ruvalcaba de la M.""","Glorieta ex mercado bola, Manuel M. Diéguez y Venustiano Carranza",3342 0850,1
266,"Bliblioteca Pública Municipal No. 6883 ""Paraísos del CollÍ""",Prolongación El Colli Nº 1000-2. Horario Lun a Vier de 9:00 a 20:00 hrs.,3180 9045,1
336,"Biblioteca Pública Municipal No. 2255 ""Novelistas""",Mabuse Nº 490 (Horario de Lun a vier de 9:00 a 20:00 hrs.),3673 8917,1
349,"Biblioteca Pública Municipal No. 6891 ""Lic. Francisco Medina Ascencio""",Independencia Nº 214 (Horario de lunes a Viernes de 9:00 a 20:00 hrs.),3110 1279,1
356,"Biblioteca Pública Municipal No. 6892 ""Santa Ana Tepetitlán""",Guadalupe Victoria Nº 3625 (Horario de Lun - Vier de 9:00 a 20:00 hrs.),3684 3821,1
370,"Biblioteca Pública Municipal no. 6893 ""Tabachines""",Araucaria Nº 3145-A (Horario de Lun a Vier de 9:00 a 20:00 hrs),3366 1430,1
373,"Biblioteca Pública Municipal No. 1423 ""Manuel López Cotilla""",5 de Mayo Nº 19 (horario de Lun a Vier de 9:00 a 20:00 hrs),3897 1360,1
377,"Biblioteca Pública Municipal No. 6884 ""La Tuzanía""",Cerezos Nº 1100 (horario de Lun a Vier de 8:00 a 20:00 hrs),3836 9233,1
394,"Biblioteca Pública Municipal  No. 7443 ""La Venta del Astillero""",Hidalgo esq. Emiliano Zapata (horario de Lun a Vier de 9:00 a 20:00 hrs),3151 1132,1
65,Biblioteca del Colegio de Jalisco,"5 de Mayo  No. 321, esq. Javier Mina a  una cuadra Av. Americas",3633 2616,1
37,"Biblioteca del CUCEA, Universidad de Guadalajara","Periférico Norte Nº 799, Nucleo Belenes",37703486 / 37703491,1
222,Atemajac,Hidalgo No. 10 (Delegación Atemajac),,1
1,-Inexistente-,,,0
2,-Inexistente-,,,0
3,-Inexistente-,,,0
4,-Inexistente-,,,0
5,-Inexistente-,,,0
6,-Inexistente-,,,0
7,-Inexistente-,,,0
8,-Inexistente-,,,0
9,-Inexistente-,,,0
10,-Inexistente-,,,0
13,-Inexistente-,,,0
14,-Inexistente-,,,0
15,-Inexistente-,,,0
16,-Inexistente-,,,0
17,-Inexistente-,,,0
67,-Inexistente-,,,0
62,-Inexistente-,,,0
43,-Inexistente-,,,0
41,-Inexistente-,,,0
63,-Inexistente-,,,0
64,-Inexistente-,,,0
44,-Inexistente-,,,0
66,-Inexistente-,,,0
12,-Inexistente-,,,0
447,-Inexistente-,,,0
448,-Inexistente-,,,0
443,- Inexistente -,,,0
449,- Inexistente -,,,0
435,- Inexistente -,,,0
450,- Inexistente -,,,0
452,- Inexistente -,,,0
506,Inexistente,,,0
472,- Inexistente -,,,0
473,- Inexistente -,,,0
474,Inexistente,,,0
475,Inexistente,,,0
476,Inexistente,,,0
479,Inexistente,,,0
478,Inexistente,,,0
58,-Inexistente-,,,0
39,-Inexistente-,,,0
423,-Inexistente-,,,0
68,-Inexistente-,,,0
38,-Inexistente-,,,0
69,-Inexistente-,,,0
40,-Inexistente-,,,0
53,-Inexistente-,,,0
51,-Inexistente-,,,0
50,-Inexistente-,,,0
49,-Inexistente-,,,0
48,-Inexistente-,,,0
47,-Inexistente-,,,0
59,-Inexistente-,,,0
52,Biblioteca,San Juan de Letrán 1998,,0
61,-Inexistente-,,,0
54,-Inexistente-,,,0
55,-Inexistente-,,,0
56,-Inexistente-,,,0
45,-Inexistente-,,,0
60,-Inexistente-,,,0
46,-Inexistente-,,,0
193,-Inexistente-,,,0
73,-Inexistente-,,,0
181,-Inexistente-,,,0
182,-Inexistente-,,,0
183,-Inexistente-,,,0
184,-Inexistente-,,,0
185,-Inexistente-,,,0
186,-Inexistente-,,,0
187,-Inexistente-,,,0
189,-Inexistente-,,,0
190,-Inexistente-,,,0
179,-Inexistente-,,,0
178,-Inexistente-,,,0
194,-Inexistente-,,,0
195,-Inexistente-,,,0
196,-Inexistente-,,,0
197,-Inexistente-,,,0
198,-Inexistente-,,,0
200,-Inexistente-,,,0
201,-Inexistente-,,,0
202,-Inexistente-,,,0
203,-Inexistente-,,,0
204,-Inexistente-,,,0
205,-Inexistente-,,,0
165,-Inexistente-,,,0
71,-Inexistente-,,,0
35,-Inexistente-,,,0
74,-Inexistente-,,,0
75,-Inexistente-,,,0
76,-Inexistente-,,,0
77,-Inexistente-,,,0
78,-Inexistente-,,,0
81,-Inexistente-,,,0
161,-Inexistente-,,,0
162,-Inexistente-,,,0
180,-Inexistente-,,,0
164,-Inexistente-,,,0
166,-Inexistente-,,,0
167,-Inexistente-,,,0
168,-Inexistente-,,,0
169,-Inexistente-,,,0
170,-Inexistente-,,,0
171,-Inexistente-,,,0
172,-Inexistente-,,,0
173,-Inexistente-,,,0
175,-Inexistente-,,,0
176,-Inexistente-,,,0
177,-Inexistente-,,,0
163,-Inexistente-,,,0
119,-Inexistente-,,,0
130,-Inexistente-,,,0
109,-Inexistente-,,,0
110,-Inexistente-,,,0
111,-Inexistente-,,,0
112,-Inexistente-,,,0
113,-Inexistente-,,,0
114,-Inexistente-,,,0
115,-Inexistente-,,,0
477,Inexistente,,,0
238,,,,0
116,-Inexistente-,,,0
106,-Inexistente-,,,0
118,-Inexistente-,,,0
105,-Inexistente-,,,0
120,-Inexistente-,,,0
121,-Inexistente-,,,0
122,-Inexistente-,,,0
123,-Inexistente-,,,0
124,-Inexistente-,,,0
125,-Inexistente-,,,0
126,-Inexistente-,,,0
127,-Inexistente-,,,0
128,-Inexistente-,,,0
23,-Inexistente-,,,0
117,-Inexistente-,,,0
83,Biblioteca del Centro de Intervención Comunitaria,Jazmín y Rizo,,0
84,-Inexistente-,,,0
85,-Inexistente-,,,0
86,-Inexistente-,,,0
87,-Inexistente-,,,0
89,-Inexistente-,,,0
90,-Inexistente-,,,0
91,-Inexistente-,,,0
107,-Inexistente-,,,0
93,-Inexistente-,,,0
131,-Inexistente-,,,0
95,-Inexistente-,,,0
96,-Inexistente-,,,0
97,-Inexistente-,,,0
98,-Inexistente-,,,0
99,-Inexistente-,,,0
100,-Inexistente-,,,0
101,-Inexistente-,,,0
103,-Inexistente-,,,0
104,-Inexistente-,,,0
206,-Inexistente-,,,0
129,-Inexistente-,,,0
157,-Inexistente-,,,0
158,-Inexistente-,,,0
159,-Inexistente-,,,0
160,-Inexistente-,,,0
18,-Inexistente-,,,0
19,-Inexistente-,,,0
20,-Inexistente-,,,0
21,-Inexistente-,,,0
155,-Inexistente-,,,0
22,-Inexistente-,,,0
154,-Inexistente-,,,0
24,-Inexistente-,,,0
26,-Inexistente-,,,0
27,-Inexistente-,,,0
28,-Inexistente-,,,0
29,-Inexistente-,,,0
30,-Inexistente-,,,0
31,-Inexistente-,,,0
32,-Inexistente-,,,0
212,-Inexistente-,,,0
143,-Inexistente-,,,0
132,-Inexistente-,,,0
133,-Inexistente-,,,0
134,-Inexistente-,,,0
137,-Inexistente-,,,0
138,-Inexistente-,,,0
139,-Inexistente-,,,0
140,-Inexistente-,,,0
156,-Inexistente-,,,0
142,-Inexistente-,,,0
34,-Inexistente-,,,0
144,-Inexistente-,,,0
145,-Inexistente-,,,0
146,-Inexistente-,,,0
147,-Inexistente-,,,0
148,-Inexistente-,,,0
149,-Inexistente-,,,0
150,-Inexistente-,,,0
151,-Inexistente-,,,0
152,-Inexistente-,,,0
153,-Inexistente-,,,0
141,-Inexistente-,,,0
354,-Inexistente-,,,0
341,-Inexistente-,,,0
342,-Inexistente-,,,0
343,-Inexistente-,,,0
344,-Inexistente-,,,0
345,-Inexistente-,,,0
346,-Inexistente-,,,0
347,-Inexistente-,,,0
348,-Inexistente-,,,0
350,-Inexistente-,,,0
351,-Inexistente-,,,0
312,-Inexistente-,,,0
353,Se encuentra en escuela Primaria Oblatos,Maestros No. 37,3625 4313,0
338,-Inexistente-,,,0
355,-Inexistente-,,,0
357,-Inexistente-,,,0
358,-Inexistente-,,,0
359,-Inexistente-,,,0
360,-Inexistente-,,,0
361,-Inexistente-,,,0
362,-Inexistente-,,,0
363,-Inexistente-,,,0
364,-Inexistente-,,,0
365,-Inexistente-,,,0
352,-Inexistente-,,,0
326,-Inexistente-,,,0
210,-Inexistente-,,,0
315,-Inexistente-,,,0
317,-Inexistente-,,,0
318,-Inexistente-,,,0
319,-Inexistente-,,,0
321,-Inexistente-,,,0
322,-Inexistente-,,,0
323,-Inexistente-,,,0
340,-Inexistente-,,,0
325,-Inexistente-,,,0
339,-Inexistente-,,,0
327,-Inexistente-,,,0
328,-Inexistente-,,,0
329,-Inexistente-,,,0
330,-Inexistente-,,,0
331,-Inexistente-,,,0
332,-Inexistente-,,,0
333,-Inexistente-,,,0
334,-Inexistente-,,,0
335,-Inexistente-,,,0
337,-Inexistente-,,,0
368,-Inexistente-,,,0
324,-Inexistente-,,,0
366,-Inexistente-,,,0
399,-Inexistente-,,,0
400,-Inexistente-,,,0
402,-Inexistente-,,,0
403,-Inexistente-,,,0
404,-Inexistente-,,,0
401,-Inexistente-,,,0
405,-Inexistente-,,,0
406,-Inexistente-,,,0
407,-Inexistente-,,,0
409,-Inexistente-,,,0
396,-Inexistente-,,,0
411,-Inexistente-,,,0
412,-Inexistente-,,,0
413,-Inexistente-,,,0
414,-Inexistente-,,,0
415,-Inexistente-,,,0
416,-Inexistente-,,,0
417,-Inexistente-,,,0
418,-Inexistente-,,,0
419,-Inexistente-,,,0
420,-Inexistente-,,,0
421,-Inexistente-,,,0
408,-Inexistente-,,,0
383,-Inexistente-,,,0
311,-Inexistente-,,,0
369,-Inexistente-,,,0
371,-Inexistente-,,,0
372,-Inexistente-,,,0
375,-Inexistente-,,,0
376,-Inexistente-,,,0
378,-Inexistente-,,,0
379,-Inexistente-,,,0
380,-Inexistente-,,,0
398,-Inexistente-,,,0
382,"Biblioteca Pública Municipal No. 6890 ""Lic. Carlos Rivera Aceves""",Planta alta del Modulo Social  Local 7 y 8. Horario Lun-Vier de 8:00 a 20:00,38 33 42 66,0
367,-Inexistente-,,,0
384,-Inexistente-,,,0
386,-Inexistente-,,,0
387,-Inexistente-,,,0
388,-Inexistente-,,,0
389,-Inexistente-,,,0
391,-Inexistente-,,,0
392,-Inexistente-,,,0
393,-Inexistente-,,,0
395,-Inexistente-,,,0
381,-Inexistente-,,,0
247,-Inexistente-,,,0
235,-Inexistente-,,,0
236,-Inexistente-,,,0
237,-Inexistente-,,,0
238,-Inexistente-,,,0
239,-Inexistente-,,,0
240,-Inexistente-,,,0
241,-Inexistente-,,,0
242,-Inexistente-,,,0
243,-Inexistente-,,,0
244,-Inexistente-,,,0
313,-Inexistente-,,,0
232,-Inexistente-,,,0
248,-Inexistente-,,,0
249,-Inexistente-,,,0
250,-Inexistente-,,,0
251,-Inexistente-,,,0
252,-Inexistente-,,,0
254,-Inexistente-,,,0
255,-Inexistente-,,,0
256,-Inexistente-,,,0
245,-Inexistente-,,,0
209,-Inexistente-,,,0
82,-Inexistente-,,,0
211,-Inexistente-,,,0
422,-Inexistente-,,,0
213,-Inexistente-,,,0
214,-Inexistente-,,,0
215,-Inexistente-,,,0
216,-Inexistente-,,,0
217,-Inexistente-,,,0
234,-Inexistente-,,,0
233,-Inexistente-,,,0
221,-Inexistente-,,,0
223,-Inexistente-,,,0
224,-Inexistente-,,,0
225,-Inexistente-,,,0
226,-Inexistente-,,,0
228,-Inexistente-,,,0
229,-Inexistente-,,,0
230,-Inexistente-,,,0
231,-Inexistente-,,,0
260,-Inexistente-,,,0
218,Biblioteca de la UNIVA,Ricardo Rizo y Jazmín (Templo),,0
299,-Inexistente-,,,0
258,-Inexistente-,,,0
288,-Inexistente-,,,0
289,-Inexistente-,,,0
290,-Inexistente-,,,0
291,-Inexistente-,,,0
292,-Inexistente-,,,0
293,-Inexistente-,,,0
294,-Inexistente-,,,0
295,-Inexistente-,,,0
296,-Inexistente-,,,0
286,-Inexistente-,,,0
298,-Inexistente-,,,0
285,-Inexistente-,,,0
301,-Inexistente-,,,0
300,-Inexistente-,,,0
271,-Inexistente-,,,0
284,-Inexistente-,,,0
283,-Inexistente-,,,0
282,-Inexistente-,,,0
281,-Inexistente-,,,0
280,-Inexistente-,,,0
279,-Inexistente-,,,0
278,-Inexistente-,,,0
277,-Inexistente-,,,0
276,-Inexistente-,,,0
275,-Inexistente-,,,0
274,-Inexistente-,,,0
259,-Inexistente-,,,0
262,-Inexistente-,,,0
261,-Inexistente-,,,0
207,-Inexistente-,,,0
263,-Inexistente-,,,0
264,-Inexistente-,,,0
267,-Inexistente-,,,0
268,-Inexistente-,,,0
269,-Inexistente-,,,0
270,-Inexistente-,,,0
287,-Inexistente-,,,0
272,-Inexistente-,,,0
303,-Inexistente-,,,0
304,-Inexistente-,,,0
305,-Inexistente-,,,0
306,-Inexistente-,,,0
273,-Inexistente-,,,0
297,-Inexistente-,,,0
310,-Inexistente-,,,0
309,-Inexistente-,,,0
308,-Inexistente-,,,0
307,-Inexistente-,,,0
428,- Inexistente -,,,0
429,- Inexistente -,,,0
430,- Inexistente -,,,0
431,- Inexistente -,,,0
432,- Inexistente -,,,0
433,- Inexistente -,,,0
434,- Inexistente -,,,0
438,- Inexistente -,,,0
441,Inexistente,,,0
439,Inexistente,,,0
440,Inexistente,,,0
442,Inexistente,,,0
302,Biblioteca Rancho Contento,Amapolas No. 250-B,"36821026, horario de 9 a 17 hrs.",0
425,Inexistente,,,0
446,-Inexistente-,,,0
453,- Inexistente -,,,0
454,- Inexistente -,,,0
451,- Inexistente -,,,0
455,- Inexistente -,,,0
456,- Inexistente -,,,0
426,- Inexistente -,,,0
427,- Inexistente -,,,0
459,- Inexistente -,,,0
457,- Inexistente -,,,0
458,- Inexistente -,,,0
460,- Inexistente -,,,0
461,- Inexistente -,,,0
462,- Inexistente -,,,0
463,- Inexistente -,,,0
464,- Inexistente -,,,0
465,- Inexistente -,,,0
466,- Inexistente -,,,0
471,- Inexistente -,,,0
468,- Inexistente -,,,0
469,- Inexistente -,,,0
470,- Inexistente -,,,0
467,- Inexistente -,,,0
480,Inexistente,,,0
486,Inexistente,,,0
484,Inexistente,,,0
485,Inexistente,,,0
483,Inexistente,,,0
70,"Biblioteca Municipal No. 7184 ""Lic. Fernando A. Gallo Lozano""","Aurora 101-B, entre Av. de las Rosas y 12 de diciembre. L-V de 8:00 a 20:00 hrs",31231356 y 36470599,0
482,Inexistente,,,0
481,Inexistente,,,0
134,Inexistente,,,0
490,Inexistente,,,0
491,Inexistente,,,0
489,inexistente,,,0
487,Inexistente,,,0
488,Inexistente,,,0
492,Inexistente,,,0
493,Inexistente,,,0
494,Inexistente,,,0
495,Inexistente,,,0
496,Inexistente,,,0
497,Inexistente,,,0
251,,,,0
498,Inexistente,,,0
499,Inexistente,,,0
500,Inexistente,,,0
501,Inexistente,,,0
502,Inexistente,,,0
503,Inexistente,,,0
504,Inexistente,,,0
505,Inexistente,,,0
374,- Inexistente -,,,0
507,Inexistente,,,0
508,Inexistente,,,0
509,Inexistente,,,0
510,Inexistente,,,0
511,Inexistente,,,0
512,Inexistente,,,0
516,- Inexistente -,,,0
515,Inexistente,,,0
514,Inexistente,,,0
517,Inexistente,,,0
519,Inexistente,,,0
520,Inexistente,,,0
518,Inexistente,,,0
521,Inexistente,,,0
522,Inexistente,,,0
523,Inexistente,,,0
524,Inexistente,,,0
526,Inexistente,,,0
525,Inexistente,,,0
513,Inexistente,,,0
445,Inexistente,,,0
527,Inexistente,,,0
528,Inexistente,,,0
530,Inexistente,,,0
531,Inexistente,,,0
532,Inexistente,,,0
533,Inexistente,,,0
529,Inexistente,,,0
25,"No. 6959  ""Atemajac del Valle""",Hidalgo #10. DElegación Municipal de Atemajac del Valle,38 23 01 92,0
136,"No. 8581 ""Archivo Municipal""",Dr. Luis Farah # 1080 ( Horario de Lunes a viernes de 9:00 a 20:00 hrs.),,0
385,"No. 1138 ""Fray Luis del Refugio de Palacio y Basave""",V. Guerrero 233. Instituto de Cultura. De Lun a Vier de 8:00 a 20:00 hrs.,38 18 22 00 Ext. 3831,0
80,"No. 4113 ""Colegio del Aíre""",Carretera Base Aérea int. Colegio del Aíre. Lun a Vier de 9:00 a 20:00 hrs.,36 24 14 70 Ext. 138,0
191,"Biblioteca Pública Municipal ""Nuevo México""",Idolina Gaona de Cosio. Horario de Lunes a Viernes de 9:00 a 17:00 hrs.,36 24 18 30,0
257,"Biblioteca Pública Municipal No. 8992 ""Nueva España""",Gibraltar s/n. (Horario de Lunes a Viernes de 9:00 a 18:00 hrs.,,0
