Vencimiento,Autorizacion,Observaciones,Aforo,Inicio,Fin,Alcohol,Calle,Exterior,Interior,Colonia,Cruce 1,Cruce 2
03/01/2014,03/01/2014,"EVENTO PARTIDO ESTUDIANTES TECOS VS LEONES NEGROS DIA 03/ENE/14, PUERTAS 17:30 HRS. EVENTO 19:30 A 21:30 HRS. AFORO 5,000 PERS. CON COBRO DE ENTRADA.",5000,1930,2130,1,PATRIA,1251,,VILLA UNIVERSITARIA,CALLE NO ENCONTRADA,CALLE NO ENCONTRADA
06/01/2014,06/12/2013,"EVENTO INSTALACION DE CIRCO DEL 06 DICIEMBRE 2013 AL 06 ENERO 2014, FUNCIONES LUNES A SABADO 18:15 Y 20:30 HRS. Y DOMINGOS 12.16.18:15 Y 20:30 HRS. AFORO 1,000 PERSONAS, CON COBRO DE ENTRADA, VENTA Y CONSUMO DE BEBIDAS SIN CONTENIDO ALCOHOLICO, ALIMENTOS,",1000,1815,2030,0,DIECISEIS DE SEPTIEMBRE,0,,HIDALGO MIGUEL,ITURBIDE,CALLE NO ENCONTRADA
07/01/2014,28/11/2013,"EVENTO TALLERES INFANTILES (4), DENOMINADOS: CHRISTMAS TOYS, BACKERY CHRISTMAS HOUSE, GINGERBREAD FACTORY Y RIGOLO, CON UN AFORO DE 30 NIOS POR TALLER DEL 28/NOV/13 AL 07/ENE/14, DE 12:00 A 21:00 HRS. ACCESO MEDIANTE BOLETO CANJEABLE POR TICKET DE COMPRA",,1200,2100,0,SANZIO RAFAEL,150,ATRIO-C,CAMICHINES VALLARTA,VALLARTA,CALLE NO ENCONTRADA
10/01/2014,20/09/2013,"EVENTO CON ACTIVIDADES RECREATIVAS PROMOCIONALES DE LA MARCA MARA,  LOS DIAS 04 OCTUBRE 2013 Y 10 ENERO 2014, DE LAS 15:00 A 19.00 HRS. AFORO 60 PERSONS, SE REGALARAN SOUVENIRS",60,1500,1900,0,CENTAURO,0,,CALMA LA,TORO,PERSEO
12/01/2014,12/01/2014,"EVENTO PARTIDO DE FUTBOL CHIVAS VS CHIAPAS DIA 12 ENERO 2014 CON HORARIO DE APERTURA DE PUERTAS: 14:00HRS, EVENTO 17:00 HRS, TERMINO DEL EVENTO 19:00 HRS, DESAFORO: 21:00 HRS, AFORO PARA 35,000 PERSONAS, CON VENTA Y CONSUMO DE BEBIDAS ALCOHOLICAS DE",35000,1400,1700,1,JVC,2800,"ESTADIO,OMNILIF",BAJIO EL,VALLARTA,ANILLO PERIFERICO
15/01/2014,15/01/2014,"EVENTO PARTIDO DE FUTBOL CHIVAS VS UDG, EL 15 ENERO 2014, PUERTAS: 18:00HRS, EVENTO 21:00 HRS, TERMINO DEL EVENTO 23:00 HRS, DESAFORO: 01:00 HRS, AFORO PARA 27,000 PERSONAS, CON VENTA Y CONSUMO DE BEBIDAS ALCOHOLICAS DE",27000,2300,100,1,JVC,2800,"EST,OMNILIFE",BAJIO EL,VALLARTA,ANILLO PERIFERICO
17/01/2014,17/01/2014,"EVENTO PRESENTACION DE REVISTA PRESS, EL DIA 17 ENERO 2014, DE LAS 20.00 A 24:00 HRS. SIN COBRO DE ENTRADA, ACCESO CON INVITACION, AFORO 300 PERSONAS, CON CONSUMO DE BEBIDAS ALCOHOLICAS DE LATA Y BAJA GRADUACION, CANAPES, MUSICA GRABADA",300,2000,2400,1,OTERO MARIANO,405,,JARD. DEL SOL,PLEYADES,LOPEZ MATEOS
17/01/2014,17/01/2014,"EVENTO PARTIDO TECOS VS ALTAMIRA EL DIA 17 DE ENERO DEL 2014, PUERTAS 17:30 HRS, EVENTO 19:30 A 21:30 HRS, AFORO 2,000 PERSONAS CON COBRO DE ENTRADA.",2000,1930,2130,1,PATRIA,1251,,VILLA UNIVERSITARIA,CALLE NO ENCONTRADA,CALLE NO ENCONTRADA
18/01/2014,18/01/2014,"EVENTO WISIN & YANDEL  EL DIA 18 ENERO 2014, CONTARA CON 03 ACCESOS, APERTURA PTAS. 19:00 HRS. EVENTO DE 21:00 A 01:00 HRS. DESAFORO 02:00 HRS. AFORO 13,000 PERSONAS, CON COBRO DE ENTRADA SEGN PREVENTA CON VENTA DE BEBIDAS ALCOHOLICAS DE BAJA Y ALTA     ",13000,2100,100,1,PARRES ARIAS,0,"FORO,ALTERNO",PARQUE IND. BELENES NORTE,ANILLO PERIFERICO,CALLE NO ENCONTRADA
18/01/2014,18/01/2014,"EVENTO FRONT 242 EL 18 ENERO 2014, APERTURA PTAS. 18:00 HRS. EVENTO 20:00 A 02.00 HRS. AFORO 1,000 PERSONAS. CON COBRO DE ENTRADA SEGUN PREVENTA, VENTA Y CONSUMO DE BEBIDAS ALCOHOLICAS DE BAJA Y ALTA GRADUACION, ALIMENTOS, SNACKS Y SOUVENIRS",1000,1800,2000,1,VAZQUEZ REYES HUGO ING,39,"TEATRO,EST,CAV",CALLE 2,PARRES ARIAS,ANILLO PERIFERICO
19/01/2014,18/01/2014,"EVENTO PELEAS DE GALLOS LOS DIAS 18.19 ENERO 2014, DE LAS 12:00 A 03:00 HRS.  DE 12:00 A 03:00HRS. AFORO 250 PERS. POR DIA, CON VENTA Y CONSUMO DE BEBIDAS ALCOHOLICAS DE BAJA Y ALTA GRADUACION, ALIMENTOS,CON COBRO DE ENTRADA",250,0,300,0,ALLENDE,17,,NEXTIPAC,PEREZ RITA,REFORMA
21/01/2014,21/01/2014,"EVENTO 30 SECONDS TO MARS EL DIA 21 ENERO 2014, APERTURA PTAS. 18:00 HRS. EVENTO 21:00 A 01.00 HRS. AFORO 6,000 PERSONAS, CON COBRO DE ENTRADA.",6000,1800,2100,1,PARRES ARIAS JOSE,993,"AUD,TELMEX",BELENES LOS,JACOBO IGNACIO,CARRANZA VENUSTIANO
23/01/2014,23/01/2014,"EVENTO FIRMA DE AUTOGRAFOS DE SIDDHARTHA, DIA 23/ENE/14, DE 17:00 A 18:30 HRS. AFORO 80 PERS. ",80,1700,1830,0,SANZIO RAFAEL,150,"K-9,10,11",CAMICHINES VALLARTA,VALLARTA,VALLARTA
24/01/2014,24/01/2014,"EVENTO CON ACTIVIDADES RECREATIVAS PROMOCIONALES DE LA MARCA MARA, DIA 24 DE ENERO 2014, DE LAS 15:00 A 19.00 HRS. AFORO 60 PERSONS, SE REGALARAN SOUVENIRS",60,1500,1900,0,PUERTO MEXICO,0,,MIRAMAR,PUERTO SALINA CRUZ,1
25/01/2014,25/01/2014,"EVENTO INAUGURACION DE EXPOSICION ARQUITECTONICA DE MAQUETAS DE FELIX CANDELA, DIA 25/ENE/14, DE 21:00 A 03:00 HRS. AFORO 300 PERS. SIN COBRO DE ENTRADA ACCESO CON INVITACION, CON DEGUSTACION DE BEBIDAS ALCOHOLICAS DE ALTA Y BAJA GRADUACION Y BOCADILLOS, ",300,2100,300,1,LOPEZ MATEOS ADOLFO,2040,,CHAPALITA,DOCE DE DICIEMBRE,1
26/01/2014,26/01/2014,"EVENTO JARIPEO, EL 26 DE ENERO 2014, DE 16:00 A 21:00 HRS. AFORO 500 PERSONAS. CON COBRO DE ENTRADA SEGUN PREVENTA, VENTA Y CONSUMO DE BEBIDAS ALCOHOLICAS DE BAJA GRADUACION, ALIMENTOS, AMENIZADO POR BANDA LA ROCA Y BANDA NAVAJAS",500,1600,2100,1,CAPULINES,10,,SANTA LUCIA,RUVALCABA JUAN MANUEL,CALLE NO ENCONTRADA
26/01/2014,18/01/2014,"EVENTO ASAMBLEA DE CIRCUITO 2014, LOS DIAS 18.19.25.26 ENERO 2014, DE 07:30 A 17:30 HRS. AFORO 2,500 PERSONAS POR DIA, SIN COBRO DE ENTRADA, ACCESO CON INVITACION, CONSUMO DE ALIMENTOS Y BEBIDAS SIN CONTENIDO ALCOHOLICO. TOCARAN TEMAS RELACIONADOS A ",2500,730,1730,0,JVC,2800,"EST,OMNILIFE",BAJIO EL,VALLARTA,ANILLO PERIFERICO
31/01/2014,31/01/2014,"PARTIDO DE FUTBOL TECOS VS ZACATEPEC DIA 31/ENE/14, APERTURA DE PUERTAS 17:30 HRS, DESAFORO 22:00 HRS. AFORO 2000 PERS. CON COBRO DE ENTRADA COSTOS $30 Y $50.",2000,1730,2200,1,PATRIA,1251,,VILLA UNIVERSITARIA,CALLE NO ENCONTRADA,CALLE NO ENCONTRADA
01/02/2014,01/02/2014,"EVENTO PARTIDO DE FUTBOL CHIVAS VS CRUZ AZUL DIA 01/FEB/14 CON HORARIO DE APERTURA DE PUERTAS: 16:00HRS, EVENTO 19:00 HRS, TERMINO DEL EVENTO 21:00 HRS, DESAFORO: 23:00 HRS, AFORO PARA 42,000 PERSONAS, COBRO DE ENTRADA, CON VENTA Y CONSUMO DE BEBIDAS ",42000,1600,1900,1,JVC,2800,"EST,OMNILIFE",BAJIO EL,VALLARTA,ANILLO PERIFERICO
01/02/2014,01/02/2014,"EVENTO EXHIBICION DE BOX, DIA 01/FEB/14, DE 19:00 A 24:00 HRS. AFORO 300 PERS. CON COBRO DE ENTRADA, CON VENTA Y CONSUMO DE BEBIDAS ALCOHOLICAS DE BAJA GRADUACION.",300,1900,2400,1,CLOUTHIER MANUEL J.,1614,A,JARD. TEPEYAC,PATRIA ,CLOUTHIER MANUEL J.
01/02/2014,01/02/2014,"EVENTO CON ACTIVIDADES RECREATIVAS PROMOCIONALES DE LA MARCA MARA,  EL DIA 01 FEBRERO 2014, DE LAS 10:00 A 14.00 HRS. AFORO 60 PERSONS, SE REGALARAN SOUVENIRS",60,1000,1400,0,TLALPAN,0,,JARD. DEL IXTEPETE,1,1
02/02/2014,01/02/2014,"EVENTO PELEAS DE GALLOS LOS DIAS 01 FEBRERO DE 19:00 A 03:00 HRS Y DIA 02 FEBRERO 2014 DE 12:00 A 03:00 HRS. AFORO 250 PERS. POR DIA, CON COBRO DE ENTRADA, CON VENTA Y CONSUMO DE BEBIDAS ALCOHOLICAS DE ALTA Y BAJA GRADUACION Y ALIMENTOS.",250,1900,300,1,ALLENDE,17,,NEXTIPAC,PEREZ RITA,REFORMA
02/02/2014,01/02/2014,"INSTALACION DE ISLA PARA ACTIVACION DE CERVEZAS CUAHUTEMOC MOCTEZUMA Y NFL, DIAS 01/FEB DE 12:00 A 22:00 Y DIA 02/FEB/14 DE 11:00 A 22:00 HRS. EN EL ATRIO CENTRAL DE PLAZA GALERIAS, CON AFORO DE 300 PERS. POR DIA, CON DEGUSTACION DE BEBIDAS ALCOHOLICAS ",300,1100,2200,1,SANZIO RAFAEL,150,ATRIO-C,CAMICHINES VALLARTA,VALLARTA,CALLE NO ENCONTRADA
02/02/2014,01/02/2014,"EVENTO JALISCO SOBRE RUEDAS 2014, 01 FEB DE 10:00 A 02:00 Y 02 FEB 2014 DE 12:00 A 24:00 HRS. AFORO 1,000 PERSONAS POR DIA, SIN COBRO DE ENTRADA, ACCESO LIBRE EXHIBICION DE MOTOCICLETAS, VENTA Y CONSUMO DE BEBIDAS ALCOHOLICAS DE BAJA GRADUACION, ALIMENTOS",1000,1000,200,1,VAZQUEZ REYES HUGO ING,39,"AGRA,EXP,PLAT",CALLE 2,PARRES ARIAS,ANILLO PERIFERICO
04/02/2014,04/02/2014,"EVENTO PARTIDO DE FUTBOL CHIVAS VS ESTUDIANTES TECOS, EL 04/FEB/14 CON HORARIO DE APERTURA DE PTAS. 17:00HRS, EVENTO 19:00 HRS, TERMINO DEL EVENTO 21:00 HRS, DESAFORO: 23:00 HRS, AFORO PARA 15,000 PERSONAS, COBRO DE ENTRADA, CON VENTA Y CONSUMO DE BEBIDAS",15000,1700,1900,1,JVC,2800,"ESTAD,OMNILIFE",BAJIO EL,VALLARTA,ANILLO PERIFERICO
04/02/2014,04/02/2014,"EVENTO FINAL COPA CHIVAS EL 04/FEB/14 CON HORARIO DE APERTURA DE PUERTAS: 09:00HRS, EVENTO 11:00  A 01:00 HRS, DESAFORO: 15:00 HRS, AFORO PARA 10,000 PERSONAS, SIN COBRO DE ENTRADA, CON VENTA Y CONSUMO DE BEBIDAS SIN CONTENIDO ALCOHOLICO, ALIMENTOS SNACKS",10000,1100,100,0,JVC,2800,"EST,OMNILIF",BAJIO EL,VALLARTA,ANILLO PERIFERICO
06/02/2014,06/02/2014,"EVENTO PRESENTACION AUTOMOVIL AUDI, DIA 06/FEB/14, DE 15:00 A 20:00 HRS. AFORO 50 PERSONAS, ACCESO LIBRE, CON CONSUMO DE BEBIDAS ALCOHOLICAS DE ALTA Y BAJA GRADUACION Y BOCADILLOS.",50,1500,2000,1,VALLARTA,5400,A,JARDINES UNIVERSIDAD,SANZIO RAFAEL,TOLOUSE
06/02/2014,06/02/2014,"EVENTO EXHIBICION DE AUTO, EL DIA 06 FEBRERO 2014 DE 20.00 A 24:00 HRS. AFORO 40 PERSONAS, SIN COBRO DE ENTRADA, ACCESO CON INVITACION, CON CONSUMO DE BEBIDAS ALCOHOLICAS DE BAJA Y ALTA GRADUACION, BOCADILLOS Y MUSICA DE DJ Y AMBIENTAL",40,2000,2400,1,PATRIA,2108,,SANTA ISABEL,SAN GONZALO,ACUEDUCTO
06/02/2014,06/02/2014,"EVENTO CONCIERTO DE DISCLOSURE, DIA 06/FEB/14, DE PUERTAS 19:00 HRS. EVENTO 21:00 A 03:00 HRS. AFORO 2800 PERS. CON COBRO DE ENTRADA SEGUN PREVENTA, CON VENTA Y CONSUMO DE BEBIDAS ALCOHOLICAS DE ALTA Y BAJA GRADUACION, ALIMENTOS, SNACKS Y SOUVENIRS.",2800,1900,2100,1,VAZQUEZ REYES HUGO ING,39,TEACT,CALLE 2,PARRES ARIAS,ANILLO PERIFERICO
07/02/2014,07/02/2014,"EVENTO CON ACTIVIDADES RECREATIVAS PROMOCIONALES DE LA MARCA MARA,  EL DIA 07 FEBRERO 2014, DE LAS 15:00 A 19.00 HRS. AFORO 60 PERSONS, SE REGALARAN SOUVENIRS",60,1500,1900,0,TLATELOLCO,0,,UNID. HAB. GUSTAVO DIAZ ORDAZ,TENAYUCA,1
08/02/2014,08/02/2014,"EVENTO MIGUEL BOSE EN CONCIERTO EL DIA 08 FEBRERO 2014 PTAS. 19:00 HRS. EVENTO 21:00 A 23:00 HRS. DESAFORO TOTAL DEL INMUEBLE MAXIMO 01:00 HRS AFORO 22,000 PERSONAS DE LOS CUALES SE EMITIERON 12,000TKTS A DISTRIBUIDORES OMNILIFE. 2,200TKTS DE CORTESIA Y",22000,2100,2300,1,JVC,2800,"ESTADIO,OMNILIF",BAJIO EL,VALLARTA,ANILLO PERIFERICO
09/02/2014,07/02/2014,"EVENTO EXPOSUEOS 2014, EXPOSICION PARA EL FOMENTO DE ACTIVIDADES COMERCIALES DIRIGIDO A  EMPRESARIOS INDEPENDIENTES OMNILIFE, LOS DIAS 07 Y 08 FEB DE 10.00 A 20:00 HRS. Y DIA 09 FEB 2014 DE 10 A 17.00 HRS. AFORO 12,000 PERSONAS, CON COBRO DE ENTRADA ",12000,1000,2000,0,JVC,0,OMNIFORUM,BAJIO EL,VALLARTA,ANILLO PERIFERICO
12/02/2014,12/02/2014,"EVENTO COBRO DE ENTRADA PARA BIG TAME RUSH EN CONCIERTO EL 12 FEBRERO 2014, APERTURA PTAS. 18:30 HRS. EVENTO 20:30 HRS. AFORO 8932 PERSONAS, LOCALIDADES Y COSTOS Z.R 1339TKS A $1550, Z.A. 1594TKTS A  $1350, Z.V.772TKTS A $1100, Z.B. 579TKS A $900, ",8932,1830,2030,0,PARRES ARIAS JOSE,993,"AUD,TELME",BELENES LOS,JACOBO IGNACIO,CARRANZA VENUSTIANO
12/02/2014,12/02/2014,"EVENTO EXHIBICION DE AUTOMOVILES SUZUKI, DIA 12/FEB/14, DE 20:00 A 24:00 HRS. AFORO 200 PERS. CON CONSUMO DE BEBIDAS ALCOHOLICAS DE BAJA GRADUACION Y BOCADILLOS, CON MUSICA AMBIENTAL.",200,2000,2400,1,VALLARTA,5300,A,JARDINES VALLARTA,DICKENS CHARLES,TASSO TORCUATO
13/02/2014,13/02/2014,"EVENTO PROMOCIONAL DIA 13/FEB/14, DE 20:00 A 24:30 HRS. AFORO 80 PERSONAS, CON DEGUSTACION DE BEBIDAS ALCOHOLICAS Y BOCADILLOS, CON MUSICA GRABADA AMBIENTAL. EL EVENTO SE LLEVARA A CABO TANTO EN EL INTERIOR DEL ESTABLECIMIENTO COMO...",80,2000,300,1,PUERTA DE HIERRO,5225,UPV417,FRACC. PLAZA ANDARES,CALLE NO ENCONTRADA,CALLE NO ENCONTRADA
13/02/2014,13/02/2014,"EVENTO PROMOCION AUTOMOVILES MODELO 2014, DIA 13/FEB/14, DE 20:00 A 24:00 HRS. AFORO 50 PERS. ACCESO CON INVITACION, CON CONSUMO DE BEBIDAS ALCOHOLICAS DE ALTA Y BAJA GRADUACION Y BOCADILLOS, CON MUSICA GRABADA PARA AMBIENTAR.",50,2000,2400,1,VALLARTA,6218,,JOCOTAN,MADERO,HIPICO
13/02/2014,13/02/2014,"EVENTO PROMOCION AUTOMOVILES MODELO 2014, DIA 13/FEB/14, DE 19:00 A 24:00 HRS. AFORO 50 PERS. ACCESO CON INVITACION, CON CONSUMO DE BEBIDAS ALCOHOLICAS DE ALTA Y BAJA GRADUACION Y BOCADILLOS, CON MUSICA GRABADA PARA AMBIENTAR.",50,1900,2400,1,OTERO MARIANO,405,,JARD. DEL SOL,PLEYADES,LOPEZ MATEOS
13/02/2014,13/02/2014,"EVENTO PROMOCION AUTOMOVILES MODELO 2014, DIA 13/FEB/14, DE 20:00 A 24:00 HRS. AFORO 50 PERS. ACCESO CON INVITACION, CON CONSUMO DE BEBIDAS ALCOHOLICAS DE ALTA Y BAJA GRADUACION Y BOCADILLOS, CON MUSICA GRABADA PARA AMBIENTAR.",50,2000,2400,1,ACUEDUCTO,5455,,PUERTA DE HIERRO,PATRIA,ANILLO PERIFERICO
14/02/2014,14/02/2014,"PARTIDO TECOS VS SAN LUIS DIA 14/FEB/14, PUERTAS 17:30 HRS. DESAFORO 22:00 HRS. AFORO 2000 PERS. CON COBRO DE ENTRADA $50 Y $30.",2000,1730,2200,1,PATRIA,1251,",",VILLA UNIVERSITARIA,CALLE NO ENCONTRADA,CALLE NO ENCONTRADA
14/02/2014,14/02/2014,"EVENTO FIESTA DE BIENVENIDA EL 14 FEBRERO 2014, DE LAS 11:00 A 23:00 HRS. AFORO 2,500 PERSONAS, SIN COBRO ACCESO LIBRE, CON VENTA Y CONSUMO DE BEBIDAS ALCOHOLICAS DE BAJA Y ALTA GRADUACION,MUSICA EN VIVO Y GRABADA",2500,1100,2300,1,PROLG. BELENES,97,,EL VERGEL,CARRANZA VENUSTIANO,CALLE NO ENCONTRADA
14/02/2014,14/02/2014,"EVENTO FIESTA DE BIENVENIDA EL 14 FEBRERO 2014, DE LAS 11:00 A 23:00 HRS. AFORO 500 PERSONAS, SIN COBRO ACCESO LIBRE, CON VENTA Y CONSUMO DE BEBIDAS ALCOHOLICAS DE BAJA GRADUACION,",500,1100,2300,1,PARRES ARIAS,0,"CANCHAS,DEPOR",BELENES LOS,CARRANZA VENUSTIANO,CALLE NO ENCONTRADA
15/02/2014,15/02/2014,"EVENTO FIRMA DE AUTOGRAFOS DE LA ESCRITORA LORENA TASSINARI DIA 15/FEB/14, DE 18:00 A 20:00 HRS. AFORO 100 PERS..",100,1800,2000,0,SANZIO RAFAEL,150,"C2,10-15",CAMICHINES VALLARTA,VALLARTA,VALLARTA
15/02/2014,15/02/2014,"EVENTO KERMESSE ESCOLAR, DIA 15/FEB/14, DE 20:00 A 01:00 HRS. AFORO 400 PERS. ACCESO LIBRE SIN COBRO DE ENTRADA, CON MUSICA AMBIENTAL, CON ALIMENTOS Y BEBIDAS SIN CONTENIDO ALCOHOLICO.",400,2000,100,0,YERMO Y PARRES JOSE MARIA DE,125,,SEATTLE,ZOQUIPAN,ORTEGA AURELIO
15/02/2014,15/02/2014,"EVENTO BAILE POPULAR DIA 15/FEB/14, DE 20:00 A 02:00 HRS. AFORO 1200 PERS. CON COBRO DE ENTRADA, CON VENTA Y CONSUMO DE BEBIDAS ALCOHOLICAS DE BAJA GRADUACION Y ALIMENTOS.",1200,2000,200,1,PARRES ARIAS,394,,PARQUE IND. BELENES NORTE,RODEO DEL,1
15/02/2014,15/02/2014,"EVENTO BAILE POPULAR EL DIA 15 DE FEBRERO DEL 2014, DE LAS 21:00 A0 3:00 HRS. AFORO 300 PERSONAS, CON COBRO DE ENTRADA, VENTA Y CONSUMO DE BEBIDAS ALCOHOLICAS DE BAJA GRADUACION, ALIMENTOS, SNACKS",300,2100,300,1,HIDALGO,501,"LIEN,CHARR,GENE",SAN FRANCISCO,CALLE NO ENCONTRADA,CALLE NO ENCONTRADA
15/02/2014,15/02/2014,"EVENTO CON ACTIVIDADES RECREATIVAS PROMOCIONALES DE LA MARCA MARA, 15 FEBRERO 2014, DE LAS 10:00 A 14.00 HRS. AFORO 60 PERSONS, SE REGALARAN SOUVENIRS",60,1000,1400,0,DIAZ DE LEON ENRIQUE,0,,COLINAS DE ATEMAJAC,COLINA ARIA,COLINA ALBEA
16/02/2014,16/02/2014,"KERMESSE DEL SEMINARIO SANTA MARIA DE ASUNCION DIA 16/FEB/14 HORARIO 08:00 A 23:00 HRS AFORO 500 PERSONAS DURANTE EL DIA, ACCESO LIBRE, CON VENTA DE ALIMENTOS Y BEBIDAS SIN CONTENIDO ALCOHOLICO.",500,800,2300,0,CLOUTHIER MANUEL J.,1233,,MIRADOR DEL SOL,MONTE FALCO,CHAMELA
16/02/2014,15/02/2014,"EVENTO CAMPEONATO NACIONAL DE MOTOCROSS 2014, LOS DIAS 15.16 FEBRERO 2014, DE 10:00 A 18:00HRS.AFORO 1,000 PERSONAS, CON COBRO DE ENTRADA, VENTA Y CONSUMO DE BEBIDAS ALCOHOLICAS DE BAJA GRADUACION, ALIMENTOS Y MUSICA AMBIENTAL",1000,1000,1800,1,NOGALES A,20,"RANCH,NABO",VENTA DEL ASTILLERO LA,CARRIL DEL,CALLE NO ENCONTRADA
16/02/2014,15/02/2014,"EVENTO PELEA DE GALLOS DIAS 15 Y 16/FEB/14, DE 12:00 A 03:00 HRS. AFORO 250 PERS. POR DIA, CON VENTA Y CONSUMO DE BEBIDAS ALCOHOLICAS DE ALTA Y BAJA GRADUACION Y ALIMENTOS, CON COBRO DE ENTRADA.",250,1200,300,1,ALLENDE,17,,NEXTIPAC,PEREZ RITA,REFORMA
16/02/2014,16/02/2014,"EVENTO PARTIDO DE FUTBOL CHIVAS VS QUERETARO EL 16 FEBRERO 2014 CON HORARIO DE APERTURA DE PUERTAS: 14:00HRS, EVENTO 17:00  A 19:00 HRS, DESAFORO: 21:00 HRS, AFORO 30,000 PERSONAS, CON VENTA Y CONSUMO DE BEBIDAS ALCOHOLICAS DE BAJA GRADUACION ",30000,1700,1900,1,JVC,2800,"EST,OMNILIFE",BAJIO EL,VALLARTA,ANILLO PERIFERICO
17/02/2014,15/02/2014,"INSTALACION DE CIRCO ATAYDE HNOS. DEL 15 AL 17 FEBRERO 2014, FUNCIONES SABADO Y LUNES 18:00 Y20:30 HRS. Y DOMINGO 12,17 Y 19:30 HRS. AFORO 1,700 PERSONAS, COBRO DE ENTRADA, VENTA Y CONSUMO DE BEBIDAS SIN CONTENIDO ALCOHOLICO, ALIMENTOS, SNACKS Y SOUVENIRS",1700,1800,2030,0,LOPEZ MATEOS,0,"EXPL,SOLEI",CHAPALITA,CUBILETE,RINCON DE LOS AHUEHUETES
20/02/2014,20/02/2014,"EVENTO DEGUSTACION DE TORTAS AHOGADAS Y CHAMPAGNE, DIA 20/FEB/14, DE 21:00 A 23:00 HRS. AFORO 80 PERS. ACCESO CON INVITACION, CON DEGUSTACION DE BEBIDAS ALCOHOLICAS DE ALTA Y BAJA GRADUACION Y ALIMENTOS, CON MUSICA EN VIVO.",80,2100,2300,1,PUERTA DE HIERRO,4965,UPV-410,FRACC. PLAZA ANDARES,CALLE NO ENCONTRADA,CALLE NO ENCONTRADA
20/02/2014,20/02/2014,"EVENTO PARTIDO DE FUTBOL ESTUDIANTES TECOS VS CHIVAS EL 20 FEBRERO 2014, APERTURA PTAS. 19:00 HRS. EVENTO 21:00 HRS. DESAFORO 24:00 HRS AFORO 12,000 PERSONAS, CON COBRO DE ENTRADA QUE VAN DESDE LOS $25.00 HASTA LOS $100.00",12000,2100,2400,0,PATRIA,1251,,VILLA UNIVERSITARIA,CALLE NO ENCONTRADA,CALLE NO ENCONTRADA
21/02/2014,20/02/2014,"EVENTO 15 EXPO PROFESIONES Y 2DA. EXPO EMPLEO 2014, A LLEVARSE A CABO LOS DIAS 20 Y 21/FEB/14, DE 09:00 A 18:00 HRS. CON AFORO DE 1500 PERS. POR DIA, ACCESO LIBRE SIN COSTO, CON INSTALACION DE 60 STANDS DE 2 X 3 MTS, ",1500,900,1800,0,PARRES ARIAS,0,,PARQUE IND. BELENES NORTE,ANILLO PERIFERICO,1
22/02/2014,22/02/2014,"EVENTO ENTRENAMIENGO ORGANO GOLD, CON PONENCIAS Y CONFERENCIAS, DIA 22/FEB/14, DE 09:00 A 15:00 HRS. AFORO 3500 PERS. SIN VENTA NI CONSUMO DE BEBIDAS ALCOHOLICAS. CON CONSUMO DE CAFE, AGUA Y SNACKS, ACCESO CON INVITACION.",3500,900,1500,0,VAZQUEZ REYES HUGO ING,0,PABE-A,CALLE 2,ANILLO PERIFERICO,PARRES ARIAS
22/02/2014,22/02/2014,"EVENTO CON ACTIVIDADES RECREATIVAS PROMOCIONALES DE LA MARCA MARA, DIA 22 FEBRERO 2014, DE LAS 15:00 A 19.00 HRS. AFORO 60 PERSONS, SE REGALARAN SOUVENIRS",60,1500,1900,0,OBREROS DE CANANEA,0,,CONSTITUCION,QUIROGA PABLO,1
